ID_Local,Furo,M(m),P(m),Origem,Log_Sondagem,Ensaio,Hidroquimica,Qual,Quant
1,405/AG9,136918,218322,SNIRH,Y,N,null,null,null
2,404F0057,120880,212960,LNEG,N,Y,N,null,null
3,404F0061,125075,212625,LNEG,N,Y,N,null,null
6,390F0075,127790,228580,LNEG,N,Y,N,null,null
7,390F0074,127860,225380,LNEG,N,N,Y,null,null
8,390F0091,128000,225480,LNEG,N,Y,N,null,null
10,390F0082,128300,229920,LNEG,N,Y,N,null,null
11,390F0093,128420,226740,LNEG,N,Y,N,null,null
12,391/229,139826,220561,SNIRH,Y,null,null,null,null
13,390F0097,128560,220070,LNEG,N,Y,N,null,null
14,390F0073,128560,223810,LNEG,N,Y,Y,null,null
15,390F0092,129270,226770,LNEG,N,Y,N,null,null
16,390F0092,129270,226770,LNEG,N,Y,N,null,null
17,390/208,129293.6,226762.3,SNIRH,N,N,N,null,null
18,390/110,129648,226850,SNIRH,N,Y,N,null,null
19,390F0111,129950,227200,LNEG,N,Y,N,null,null
20,390/99,130060.6,228988.3,SNIRH,N,N,N,null,null
21,376/29,134310.8,230455.3,SNIRH,N,N,N,null,null
22,390F0098,134530,224150,LNEG,N,Y,N,null,null
23,404F0058,135030,218340,LNEG,N,Y,Y,null,null
24,404/91,135383,218323,SNIRH,Y,N,N,null,null
27,391F0016,137700,227730,LNEG,N,Y,N,null,null
28,405F0049,137710,217320,LNEG,N,Y,Y,null,null
29,405/AG7,137711,217245,SNIRH,Y,N,N,null,null
30,391/AG18,140600,223600,SNIRH,Y,N,N,null,null
31,391/245,141050,223580,SNIRH,Y,N,N,null,null
32,391/AG16,141795,223728,SNIRH,Y,N,N,null,null
33,405/AG1,142100,219750,SNIRH,Y,N,N,null,null
34,391/437,143834,225145,SNIRH,Y,N,N,i,a
35,391/AG14,144440,224099,SNIRH,N,N,Y,a,null
36,391/243,145560,221380,SNIRH,Y,N,N,null,i
37,391/AG19,145675,220960,SNIRH,Y,N,N,null,null
38,391F0037,145800,221100,LNEG,N,Y,Y,null,null
39,391/244,145970,223500,SNIRH,Y,N,Y,i,null
40,377/85,146382.3,235871,SNIRH,N,N,N,null,null
41,377/52,146670.3,237066,SNIRH,N,N,N,null,null
42,377/54,146991,236849,SNIRH,N,N,N,null,null
43,377/84,147302.4,237288,SNIRH,N,N,N,null,null
44,391/312,151239,224433,SNIRH,Y,N,N,null,a
45,365F0017,152650,242250,LNEG,N,Y,N,null,null
46,365F0016,152750,241920,LNEG,N,Y,N,null,null
47,365/15,152850,241950,SNIRH,N,N,Y,a,null
48,353/26,166310,258300,SNIRH,Y,null,null,null,null
49,365F0023,155120,241300,LNEG,N,Y,N,null,null
50,365F0023,155120,241300,LNEG,N,Y,N,null,null
51,365F0025,155430,247500,LNEG,N,Y,N,null,null
52,365F0021,155770,244940,LNEG,N,Y,N,null,null
53,365F0024,155900,247400,LNEG,N,Y,N,null,null
54,365F0032,155980,248470,LNEG,N,Y,N,null,null
55,365F0022,156000,244340,LNEG,N,Y,N,null,null
56,365F0020,156220,245220,LNEG,N,Y,N,null,null
57,365F0020,156220,245220,LNEG,N,Y,N,null,null
58,365F0018,156680,248470,LNEG,N,Y,N,null,null
59,365F0011,156950,248270,LNEG,N,Y,N,null,null
60,365F0015,157200,248500,LNEG,N,Y,N,null,null
61,365F0010,157230,248400,LNEG,N,Y,N,null,null
62,353F0024,157700,251100,LNEG,N,Y,N,null,null
63,353/22,158460,250300,SNIRH,Y,N,Y,a,null
64,365F0030,159000,248600,LNEG,N,Y,N,null,null
