ID_Local,Furo,M,P,Cl ,SO4,HCO3 ,Na,Ca,Mg ,Mg/Ca,Cl/HCO3,SO4/Cl,CondEletrica,pHAmostra,TempAmostra,Mg/Cl,NaCl,Nitratos,Fe,Mn
1,405/AG9,136918.00,218322.00,90.26,77.31,321.75,91.84,84.49,22.46,0.27,0.28,0.86,844.27,7.35,17.18,0.25,182.10,15.43,0.13,0.18
2,404F0057,120880.00,212960.00,188.56,53.38,272.91,168.90,73.82,26.98,0.37,0.69,0.28,714.90,7.44,17.53,0.14,357.47,27.60,0.24,0.08
3,404F0061,125075.00,212625.00,157.48,48.60,264.31,159.15,68.13,23.79,0.35,0.60,0.31,694.32,7.37,17.52,0.15,316.64,25.58,0.26,0.08
6,390F0075,127790.00,228580.00,344.40,95.30,422.10,171.60,164.30,43.80,0.27,0.82,0.28,611.05,6.95,17.58,0.13,516.00,40.00,0.10,0.11
7,390F0074,127860.00,225380.00,271.00,122.50,292.80,150.70,105.80,43.30,0.41,0.93,0.45,604.25,7.68,17.59,0.16,421.70,23.70,0.11,0.09
8,390F0091,128000.00,225480.00,275.27,121.21,294.62,153.58,105.68,43.35,0.41,0.93,0.44,603.84,7.68,17.59,0.16,428.85,23.74,0.11,0.09
10,390F0082,128300.00,229920.00,338.93,91.18,398.48,178.61,147.98,42.65,0.29,0.85,0.27,578.50,7.09,17.70,0.13,517.54,36.96,0.12,0.12
11,390F0093,128420.00,226740.00,342.18,95.61,348.63,194.99,117.41,43.33,0.37,0.98,0.28,611.68,7.51,17.58,0.13,537.16,28.99,0.11,0.12
12,391/229,139826.00,220561.00,99.19,61.73,243.63,96.22,59.86,20.00,0.33,0.41,0.62,651.19,7.16,17.54,0.20,195.41,21.03,0.14,0.13
13,390F0097,128560.00,220070.00,353.16,50.84,350.78,271.64,84.35,38.45,0.46,1.01,0.14,617.49,7.67,17.65,0.11,624.80,22.90,0.15,0.10
14,390F0073,128560.00,223810.00,733.10,2.40,456.30,456.60,81.80,51.60,0.63,1.61,0.00,611.59,8.22,17.60,0.07,1189.70,24.65,0.10,0.10
16,390F0092,129270.00,226770.00,359.21,87.31,355.83,209.79,115.23,43.01,0.37,1.01,0.24,611.08,7.51,17.58,0.12,569.00,29.11,0.12,0.12
17,390/208,129293.60,226762.30,359.73,87.06,355.78,210.34,114.99,43.00,0.37,1.01,0.24,611.11,7.52,17.58,0.12,570.08,29.07,0.12,0.12
18,390/110,129648.00,226850.00,362.22,84.16,358.00,213.97,114.26,42.88,0.38,1.01,0.23,610.49,7.50,17.58,0.12,576.19,29.27,0.12,0.12
19,390F0111,129950.00,227200.00,355.32,83.00,361.01,209.95,116.61,42.30,0.36,0.98,0.23,613.45,7.45,17.58,0.12,565.27,30.06,0.12,0.12
