ID_Local,M,P,WaterLevel
3,125075.00,212625.00,-14.20
6,127790.00,228580.00,-14.70
7,127860.00,225380.00,-6.25
8,128000.00,225480.00,-4.80
10,128300.00,229920.00,-17.00
11,128420.00,226740.00,-9.70
14,128560.00,223810.00,-4.40
15,129270.00,226770.00,-16.50
17,129293.60,226762.30,5.08
18,129648.00,226850.00,6.05
20,130060.60,228988.30,4.58
22,134530.00,224150.00,-3.00
27,137700.00,227730.00,-2.60
31,141050.00,223580.00,8.35
34,143834.00,225145.00,4.74
36,145560.00,221380.00,8.35
42,146991.00,236849.00,4.74
43,147302.40,237288.00,5.08
44,151239.00,224433.00,24.89
45,152650.00,242250.00,-3.20
46,152750.00,241920.00,-10.30
70,162920.00,264560.00,-5.87
71,163060.00,258820.00,1.80
72,163250.00,265060.00,-5.10
74,163432.00,252892.00,52.86
83,165541.00,265050.00,4.74
84,165540.00,265050.00,-6.30
85,165550.00,265450.00,-4.70
91,166700.00,271040.00,2.15
92,166740.00,261080.00,-3.95
97,167370.00,269850.00,-3.54
100,169620.00,265700.00,-2.15
101,169860.00,264430.00,4.14
103,169940.00,275740.00,-15.10
104,170240.00,266560.00,6.40
105,170260.00,268540.00,-4.20
106,170902.00,267000.00,-2.45
107,170915.00,267010.00,-2.95
109,170920.00,267200.00,-1.20
110,170930.00,267130.00,-1.50
111,170980.00,270910.00,2.74
112,171130.00,275500.00,-15.60
113,171480.00,270780.00,-7.71
114,171620.00,276260.00,-10.40
115,171950.00,275750.00,-4.70
116,172500.00,268360.00,-5.76
117,172530.00,268400.00,-5.76
120,176950.00,275570.00,-4.03
128,183264.00,278983.00,-5.60
129,183296.00,278979.00,-5.60
130,188350.00,277970.00,-6.30
131,188440.00,278720.00,-4.50
132,188590.00,278740.00,-4.50
134,188592.00,279051.00,6.87
135,189870.00,277820.00,-4.10
136,189950.00,277780.00,-2.75
137,190120.00,277850.00,-6.44
138,190170.00,277920.00,-7.00
139,193270.00,277950.00,-13.80
140,193296.00,278102.00,15.50
141,193300.00,277950.00,-13.30
143,194280.00,278630.00,-3.50
144,194330.00,278550.00,-3.20
145,194850.00,273320.00,-2.00
146,194880.00,273400.00,-11.40
147,194920.00,273480.00,-1.30
148,194960.00,274490.00,-4.55
149,195510.00,273060.00,-5.90
150,195950.00,278050.00,-7.55
151,196050.00,277920.00,-6.10
154,196310.00,277520.00,-5.42
155,196450.00,277550.00,-5.22
162,134850.00,210870.00,5.24
163,135060.00,204980.00,2.04
165,136600.00,219500.00,1.03
167,139561.00,211220.00,2.80
170,144320.00,234440.00,5.06
171,146740.00,226240.00,7.95
176,148399.00,234273.00,3.22
179,152520.00,231100.00,26.31
185,162940.00,253600.00,8.11
187,165000.00,258000.00,15.00
