ID_Local,Furo,M,P,Q(Lsm),Q(m3dia),sp(m),q,TLogan
3,404F0061,125075,212625,13.30,1149.12,0.60,1915.2,2336.544
6,390F0075,127790,228580,2.60,224.64,0.90,249.6,304.512
7,390F0074,127860,225380,9.00,777.6,8.65,89.89595376,109.6730636
8,390F0091,128000,225480,13.90,1200.96,4.40,272.9454545,332.9934545
10,390F0082,128300,229920,0.40,34.56,8.50,4.065882353,4.960376471
11,390F0093,128420,226740,11.25,972,3.60,270,329.4
14,390F0073,128560,223810,32.00,2764.8,4.60,601.0434783,733.2730435
15,390F0092,129270,226770,7.50,648,1.05,617.1428571,752.9142857
18,390/110,129648,226850,10.00,864,3.80,227.3684211,277.3894737
22,390F0098,134530,224150,26.90,2324.16,2.45,948.6367347,1157.336816
27,391F0016,137700,227730,25.88,2235.6,2.88,777.6,948.672
44,391/312,151239,224433,5.20,449.28,0.60,748.8,913.536
45,365F0017,152650,242250,21.00,1814.4,15.60,116.3076923,141.8953846
46,365F0016,152750,241920,30.00,2592,5.70,454.7368421,554.7789474
70,341F0015,162920,264560,20.00,1728,1.33,1299.24812,1585.082707
71,353F0020,163060,258820,10.00,864,0.80,1080,1317.6
72,341F0014,163250,265060,21.63,1869.12,2.10,890.0571429,1085.869714
74,353/687,163432,252892,25.00,2160,2.00,1080,1317.6
84,341F0008,165540,265050,15.00,1296,3.20,405,494.1
85,341F0009,165550,265450,15.00,1296,2.00,648,790.56
92,341F0002,166740,261080,31.67,2736,1.48,1844.494382,2250.283146
94,329F0007,167160,272222,22.00,1900.8,5.20,365.5384615,445.9569231
95,329F0008,167160,272223,45.00,3888,1.92,2025,2470.5
97,341F0003,167370,269850,30.00,2592,3.43,756.4202335,922.8326848
100,342F0010,169620,265700,37.50,3240,8.08,401.2383901,489.5108359
103,330F0021,169940,275740,30.00,2592,2.00,1296,1581.12
105,342F0014,170260,268540,7.50,648,1.10,589.0909091,718.6909091
107,342F0004,170915,267010,20.00,1728,5.45,317.0642202,386.8183486
109,342F0005,170920,267200,22.00,1900.8,5.70,333.4736842,406.8378947
110,342F0006,170930,267130,18.50,1598.4,6.10,262.0327869,319.68
112,330F0026,171130,275500,15.00,1296,1.60,810,988.2
113,330F0030,171480,270780,20.00,1728,1.02,1688.599349,2060.091205
114,330F0019,171620,276260,15.00,1296,2.07,627.0967742,765.0580645
115,330F0016,171950,275750,15.00,1296,2.70,480,585.6
116,342F0008,172500,268360,11.33,979.2,1.01,972.7152318,1186.712583
117,342F0009,172530,268400,10.33,892.8,1.01,886.8874172,1082.002649
120,330F0028,176950,275570,5.00,432,7.97,54.20326223,66.12797992
128,330F0014,183264,278983,22.00,1900.8,0.70,2715.428571,3312.822857
129,330F0015,183296,278979,22.00,1900.8,0.70,2715.428571,3312.822857
130,331F0026,188350,277970,27.50,2376,1.45,1638.62069,1999.117241
131,331F0031,188440,278720,3.75,324,3.00,108,131.76
132,331F0030,188590,278740,6.25,540,3.25,166.1538462,202.7076923
134,331/2,188592,279051,5.55,479.52,0.50,959.04,1170.0288
135,331F0016,189870,277820,18.57,1604.16,1.10,1458.327273,1779.159273
136,331F0015,189950,277780,21.80,1883.52,1.97,956.1015228,1166.443858
137,331F0017,190120,277850,43.75,3780,1.36,2779.411765,3390.882353
138,331F0018,190170,277920,47.75,4125.6,1.65,2500.363636,3050.443636
139,331F0003,193270,277950,8.70,751.68,0.93,805.3714286,982.5531429
140,331/15,193296,278102,14.70,1270.08,0.80,1587.6,1936.872
141,331F0002,193300,277950,8.88,766.8,1.68,457.7910448,558.5050746
142,331F0009,193600,277850,5.10,440.64,0.60,734.4,895.968
143,331F0004,194280,278630,7.10,613.44,18.60,32.98064516,40.2363871
144,331F0005,194330,278550,4.20,362.88,24.60,14.75121951,17.9964878
148,331F0040,194960,274490,16.83,1454.4,1.05,1385.142857,1689.874286
149,331F0037,195510,273060,9.50,820.8,13.40,61.25373134,74.72955224
150,331F0043,195950,278050,8.10,699.84,1.65,424.1454545,517.4574545
151,331F0022,195980,277880,41.10,3551.04,2.95,1203.742373,1468.565695
154,331F0013,196310,277520,27.00,2332.8,1.08,2160,2635.2
155,331F0021,196450,277550,43.90,3792.96,1.28,2963.25,3615.165
165,405/17,136600,219500,7.50,648,0.75,864,1054.08
